City,Population,RestaurantCount,RestaurantPerCapita
Akaa,8379,5,0.0005967
Alajärvi,10268,0,0.0000000
Alavieska,2743,0,0.0000000
Alavus,9247,9,0.0009733
Asikkala,0,1,
Askola,4968,0,0.0000000
Aura,0,1,
Brändö,482,0,0.0000000
Eckerö,0,1,
Enonkoski,1540,0,0.0000000
Enontekiö,1891,1,0.0005288
Espoo,260842,72,0.0002760
Eura,12413,1,0.0000806
Eurajoki,0,0,
Evijärvi,2691,0,0.0000000
Finström,2541,2,0.0007871
Forssa,17735,4,0.0002255
Föglö,0,0,
Geta,0,0,
Haapajärvi,7800,1,0.0001282
Haapavesi,7309,1,0.0001368
Hailuoto,1006,0,0.0000000
Halsua,1868,0,0.0000000
Hamina,21250,4,0.0001882
Hammarland,1525,0,0.0000000
Hankasalmi,5452,0,0.0000000
Hanko,0,2,
Harjavalta,7513,2,0.0002662
Hartola,3098,2,0.0006456
Hattula,6737,4,0.0005937
Hausjärvi,1963,1,0.0005094
Heinola,20062,3,0.0001495
Heinävesi,3767,0,0.0000000
Helsinki,629725,221,0.0003509
Hirvensalmi,2384,0,0.0000000
Hollola,21800,7,0.0003211
Honkajoki,1835,0,0.0000000
Huittinen,10700,2,0.0001869
Humppila,2391,0,0.0000000
Hyrynsalmi,2607,0,0.0000000
Hyvinkää,46614,11,0.0002360
Hämeenkyrö,10487,0,0.0000000
Hämeenlinna,68001,32,0.0004706
Ii,9541,2,0.0002096
Iisalmi,22138,4,0.0001807
Iitti,0,1,
Ikaalinen,7304,1,0.0001369
Ilmajoki,11974,1,0.0000835
Ilomantsi,5722,1,0.0001748
Imatra,29357,10,0.0003406
Inari,3007,5,0.0016628
Ingå,5548,1,0.0001802
Isojoki,792,0,0.0000000
Isokyrö,4891,0,0.0000000
Jakobstad,19640,7,0.0003564
Janakkala,0,1,
Joensuu,74279,23,0.0003096
Jokioinen,5653,0,0.0000000
Jomala,0,0,
Joroinen,5293,1,0.0001889
Joutsa,4909,0,0.0000000
Juuka,5436,0,0.0000000
Juupajoki,869,0,0.0000000
Juva,6841,3,0.0004385
Jyväskylä,135961,40,0.0002942
Jämijärvi,646,0,0.0000000
Jämsä,23000,4,0.0001739
Järvenpää,40003,6,0.0001500
Kaarina,0,4,
Kaavi,3337,0,0.0000000
Kajaani,37889,11,0.0002903
Kalajoki,13000,3,0.0002308
Kangasala,30045,5,0.0001664
Kangasniemi,5801,2,0.0003448
Kankaanpää,11944,1,0.0000837
Kannonkoski,1453,1,0.0006882
Kannus,5788,0,0.0000000
Karijoki,511,0,0.0000000
Karkkila,9165,2,0.0002182
Karstula,4260,1,0.0002347
Karvia,2555,1,0.0003914
Kaskinen,1259,0,0.0000000
Kauhajoki,14204,0,0.0000000
Kauhava,17497,3,0.0001715
Kauniainen,8506,1,0.0001176
Kaustinen,4300,1,0.0002326
Keitele,2600,0,0.0000000
Kemi,22303,3,0.0001345
Kemijärvi,8145,0,0.0000000
Keminmaa,0,0,
Kempele,15657,2,0.0001277
Kerava,36476,12,0.0003290
Keuruu,10187,2,0.0001963
Kihniö,1951,0,0.0000000
Kimitoön,1302,3,0.0023041
Kinnula,1744,0,0.0000000
Kirkkonummi,37913,6,0.0001583
Kisko,0,0,
Kitee,9083,1,0.0001101
Kittilä,2226,6,0.0026954
Kiuruvesi,9050,0,0.0000000
Kivijärvi,1234,0,0.0000000
Kokemäki,7923,0,0.0000000
Kokkola,47018,14,0.0002978
Kolari,3836,3,0.0007821
Konnevesi,2903,1,0.0003445
Kontiolahti,14104,1,0.0000709
Korsholm,19082,22,0.0011529
Korsnäs,2200,0,0.0000000
Koski Tl,0,0,
Kotka,54782,8,0.0001460
Kouvola,82104,36,0.0004385
Kristinestad,0,3,
Kronoby,1737,2,0.0011514
Kuhmo,9271,3,0.0003236
Kuhmoinen,2458,0,0.0000000
Kumlinge,400,0,0.0000000
Kuopio,118209,24,0.0002030
Kuopio,5145,1,0.0001944
Kuortane,3870,3,0.0007752
Kurikka,14421,3,0.0002080
Kustavi,0,3,
Kuusamo,16177,8,0.0004945
Kyyjärvi,1475,1,0.0006780
Kärkölä,2675,2,0.0007477
Kärsämäki,2847,0,0.0000000
Kökar,0,1,
Lahti,103416,21,0.0002031
Laihia,0,0,
Laitila,8462,0,0.0000000
Lapinjärvi,2823,1,0.0003542
Lapinlahti,10328,0,0.0000000
Lappajärvi,3394,0,0.0000000
Lappeenranta,72698,21,0.0002889
Lapua,14612,0,0.0000000
Larsmo,0,0,
Laukaa,18843,0,0.0000000
Lemi,3062,0,0.0000000
Lemland,1849,0,0.0000000
Lempäälä,20955,8,0.0003818
Leppävirta,10390,0,0.0000000
Lestijärvi,842,0,0.0000000
Lieksa,12568,4,0.0003183
Lieto,19282,2,0.0001037
Liminka,0,0,
Liperi,12288,4,0.0003255
Lohja,47728,2,0.0000419
Loimaa,16761,1,0.0000597
Loppi,8246,2,0.0002425
Loviisa,15556,2,0.0001286
Luhanka,762,0,0.0000000
Lumijoki,2041,0,0.0000000
Lumparland,0,0,
Luumäki,2126,3,0.0014111
Luvia,3359,2,0.0005954
Malax,5618,1,0.0001780
Mariehamn,11060,13,0.0011754
Marttila,2004,0,0.0000000
Masku,9700,1,0.0001031
Merijärvi,1199,0,0.0000000
Merikarvia,3303,1,0.0003028
Miehikkälä,2165,0,0.0000000
Mikkeli,54649,11,0.0002013
Muhos,8936,1,0.0001119
Multia,1762,0,0.0000000
Muonio,2369,1,0.0004221
Muurame,10002,4,0.0003999
Mynämäki,0,0,
Myrskylä,0,0,
Mäntsälä,20414,4,0.0001959
Mänttä-Vilppula,0,0,
Mäntyharju,6418,2,0.0003116
Naantali,18834,2,0.0001062
Nakkila,5647,1,0.0001771
Nivala,10805,2,0.0001851
Nokia,32204,8,0.0002484
Nousiainen,4800,1,0.0002083
Nurmes,8358,2,0.0002393
Nurmijärvi,43036,7,0.0001627
Nykarleby,7445,2,0.0002686
Närpes,9399,0,0.0000000
Orimattila,16352,3,0.0001835
Oripää,0,0,
Orivesi,9582,3,0.0003131
Oulainen,7912,1,0.0001264
Oulu,193825,48,0.0002476
Outokumpu,7295,2,0.0002742
Padasjoki,3358,0,0.0000000
Paimio,10479,0,0.0000000
Paltamo,3435,0,0.0000000
Pargas,15511,4,0.0002579
Parikkala,5768,1,0.0001734
Parkano,6975,2,0.0002867
Pedersöre,0,9,
Pelkosenniemi,358,0,0.0000000
Pello,3902,1,0.0002563
Perho,2923,0,0.0000000
Pertunmaa,1906,1,0.0005247
Petäjävesi,4005,0,0.0000000
Pieksämäki,19672,3,0.0001525
Pielavesi,5004,0,0.0000000
Pihtipudas,4492,0,0.0000000
Pirkkala,18132,3,0.0001655
Polvijärvi,4772,1,0.0002096
Pomarkku,2412,0,0.0000000
Pori,83525,11,0.0001317
Pornainen,5131,1,0.0001949
Porvoo,49459,6,0.0001213
Posio,3812,1,0.0002623
Pudasjärvi,8717,1,0.0001147
Pukkila,2027,0,0.0000000
Punkalaidun,3232,0,0.0000000
Puolanka,3000,0,0.0000000
Puumala,2416,0,0.0000000
Pyhtää,0,1,
Pyhäjoki,3350,0,0.0000000
Pyhäjärvi,2436,1,0.0004105
Pyhäntä,1581,0,0.0000000
Pyhäranta,2200,0,0.0000000
Pälkäne,6886,2,0.0002904
Pöytyä,0,0,
Raahe,22606,4,0.0001769
Raisio,24564,0,0.0000000
Rantasalmi,3996,1,0.0002503
Ranua,4259,1,0.0002348
Raseborg,0,7,
Rauma,39966,11,0.0002752
Rautalampi,3481,2,0.0005745
Rautavaara,1857,0,0.0000000
Rautjärvi,0,1,
Reisjärvi,2992,1,0.0003342
Riihimäki,28574,9,0.0003150
Ristijärvi,1500,0,0.0000000
Rovaniemi,61842,15,0.0002426
Ruokolahti,5658,1,0.0001767
Ruovesi,4939,1,0.0002025
Rusko,6250,0,0.0000000
Rääkkylä,2528,0,0.0000000
Saarijärvi,10373,1,0.0000964
Salla,4048,1,0.0002470
Salo,26000,6,0.0002308
Saltvik,0,0,
Sastamala,10243,4,0.0003905
Sauvo,1253,0,0.0000000
Savitaipale,3775,0,0.0000000
Savonlinna,36276,8,0.0002205
Savukoski,387,0,0.0000000
Seinäjoki,60371,20,0.0003313
Sievi,5270,0,0.0000000
Siikainen,1663,0,0.0000000
Siikajoki,1183,2,0.0016906
Siikalatva,776,0,0.0000000
Siilinjärvi,21328,1,0.0000469
Simo,830,0,0.0000000
Sipoo,0,8,
Siuntio,6160,0,0.0000000
Sodankylä,8809,4,0.0004541
Soini,2367,0,0.0000000
Somero,9176,0,0.0000000
Sonkajärvi,4561,0,0.0000000
Sotkamo,10700,4,0.0003738
Sottunga,0,0,
Sulkava,1200,0,0.0000000
Sund,0,0,
Suomussalmi,9000,2,0.0002222
Suonenjoki,7561,3,0.0003968
Sysmä,4263,1,0.0002346
Säkylä,4666,0,0.0000000
Taipalsaari,4838,0,0.0000000
Taivalkoski,4407,1,0.0002269
Taivassalo,1687,0,0.0000000
Tammela,6559,1,0.0001525
Tampere,220579,61,0.0002765
Tervo,1690,0,0.0000000
Tervola,0,1,
Teuva,5800,0,0.0000000
Tohmajärvi,4975,1,0.0002010
Toholampi,3480,0,0.0000000
Toivakka,2426,0,0.0000000
Tornio,22487,16,0.0007115
Turku,182255,14,0.0000768
Tuusniemi,2818,0,0.0000000
Tuusula,38149,6,0.0001573
Tyrnävä,6482,1,0.0001543
Ulvila,13531,2,0.0001478
Urjala,5242,1,0.0001908
Utajärvi,1312,0,0.0000000
Utsjoki,1322,0,0.0000000
Uurainen,3692,0,0.0000000
Uusikaupunki,15687,2,0.0001275
Vaala,3309,1,0.0003022
Vaasa,67619,25,0.0003697
Valkeakoski,21043,2,0.0000950
Vantaa,208052,57,0.0002740
Varkaus,22587,3,0.0001328
Vehmaa,1081,0,0.0000000
Vesanto,2386,0,0.0000000
Vesilahti,0,1,
Veteli,3396,0,0.0000000
Vieremä,3964,2,0.0005045
Vihti,0,11,
Viitasaari,6652,2,0.0003007
Vimpeli,3255,0,0.0000000
Virolahti,0,2,
Virrat,7453,2,0.0002683
Vårdö,448,0,0.0000000
Vörå,6720,2,0.0002976
Ylitornio,3940,1,0.0002538
Ylivieska,14307,1,0.0000699
Ylöjärvi,30997,3,0.0000968
Ypäjä,2412,0,0.0000000
Ähtäri,6394,2,0.0003128
Äänekoski,19643,5,0.0002545
