City,Restaurant,Lat,Lon
Akaa,Kotipizza,61.1363785,23.6759848
Akaa,Akaa Kebab Pizza,61.2101238,23.7662863
Akaa,Star Kebab- Pizza,61.2033405,23.7828326
Akaa,Adam kebab ja pizzeria,61.1668599,23.8682015
Akaa,Alibaba,,
Alavus,Alavuden Kebab&pizzeria,62.5835291,23.6148948
Alavus,Pizzeria Tropicana,62.5868337,23.6166538
Alavus,Pizzeria Sara,62.5880262,23.6139383
Alavus,Milano's,62.5864337,23.6196096
Alavus,OnnenTähti Pizza Buffet,62.6036859,23.7223855
Alavus,Kotipizza,62.6012967,23.7287309
Alavus,Vesa´s Pizza & Grill,62.6024,23.7267851
Alavus,Pizzeria Quattro,62.6029156,23.7361422
Alavus,Sepänniemen kahvio,62.6478974,23.8434446
Asikkala,Oinas Kebab Pizza,61.1727656,25.5481142
Aura,Masin kebab,60.6488037,22.5869271
Eckerö,bodegan,60.2325671,19.5391459
Enontekiö,6341652124,68.4479776,22.487876
Espoo,Loco Pizza,60.1537436,24.6351276
Espoo,Kotipizza Kivenlahti,60.1533368,24.6356362
Espoo,Crispy Pizza,60.1671127,24.6175554
Espoo,Pizza Hut Kauklahti,60.1855008,24.5964899
Espoo,Papachi,60.1871666,24.605
Espoo,Kotipizza,60.1519325,24.6540875
Espoo,Big Mama's,60.1487222,24.6584179
Espoo,Pizzeria Piccante,60.1482179,24.6557599
Espoo,Llapi Pizzeria,60.1386746,24.6730144
Espoo,Pizza Service,60.1421544,24.6702387
Espoo,Pizzeria Poola,60.1541226,24.6420637
Espoo,Tähti Pizza,60.1768531,24.6564936
Espoo,Pizzataksi,60.1736173,24.6618042
Espoo,Mozaik Restaurant & Bar,60.1594085,24.693408
Espoo,Kotipizza,60.2036021,24.6576536
Espoo,Pizza Hut,60.2037862,24.6589871
Espoo,Pappa Pizza,60.1990634,24.6558346
Espoo,Valentin Pizza & Burger,60.1993747,24.6646693
Espoo,Asian Food Market,60.2021653,24.6658362
Espoo,Suvis Pizzeria,60.2013086,24.6713719
Espoo,Dalas-pizza,60.2005955,24.6699609
Espoo,Pizzeria Shine,60.2005457,24.6699272
Espoo,Llapi Pizzeria,60.2012926,24.6714993
Espoo,Kotipizza Suomenoja,60.1598616,24.7111792
Espoo,Matinkylän Pizza & Kebab,60.1573826,24.739494
Espoo,Pizzarium,60.1614304,24.7373584
Espoo,Kotipizza,60.1603678,24.7386884
Espoo,Classic Pizza,60.1608127,24.7379229
Espoo,Kotipizza Matinkylä,60.1587989,24.7416059
Espoo,Opera,60.1755096,24.7347448
Espoo,Kotipizza,60.1863658,24.7460596
Espoo,Ymmerstan Pizzeria,60.2056822,24.7080146
Espoo,Kotipizza,60.2104238,24.7284193
Espoo,Pizza express,60.2285274,24.7417087
Espoo,Pappa Pizza,60.2269381,24.7418315
Espoo,Ravintola Järvenperä,60.2395431,24.699274
Espoo,1801091794,60.240103,24.7416642
Espoo,Kalajärven pizzeria,60.305972,24.739446
Espoo,Kotipizza Kalajärvi,60.3050036,24.7407015
Espoo,Kotipizza,60.1704671,24.7634471
Espoo,Kotipizza,60.1632366,24.7745401
Espoo,Salam Mumbai,60.1757174,24.7933461
Espoo,Pizza Express - Tapiola,60.1758131,24.7933421
Espoo,The Chili's Pizzeria & Grill,60.1955841,24.7657329
Espoo,Pizza Dominas,60.1948535,24.7671479
Espoo,Pizzataksi,60.1947527,24.7673599
Espoo,San Luca,60.1834248,24.7944668
Espoo,Kotipizza,60.1832936,24.7944125
Espoo,5577062554,60.1874718,24.7967145
Espoo,Pizza Duhok,60.168865,24.805187
Espoo,Pizza Hut,60.1757167,24.8049897
Espoo,Classic Pizza Restaurant,60.175558,24.8040503
Espoo,Guido's Pizza Alchemista,60.1758068,24.8021245
Espoo,Rax Pizzabuffet,60.1748648,24.8030631
Espoo,Armis pizzeria,60.184504,24.8053915
Espoo,Tapiola Pizza,60.17882,24.8165429
Espoo,Ravintola Fat Lizard,60.1855753,24.8204025
Espoo,Pohjanmaan Grilli,60.2088872,24.7586008
Espoo,City Kebab Pizza,60.2118139,24.7682077
Espoo,Dreams Cafe,60.2237768,24.757008
Espoo,Pizza Center,60.2286603,24.7634276
Espoo,Leppävaaran Pizzapalvelu,60.2112433,24.8229099
Espoo,Kotipizza,60.2181407,24.8104789
Espoo,Classic Pizza,60.2183592,24.8116683
Espoo,King Kebab,60.2207654,24.8131618
